ACCOUNT_KEY,Month of Trans Date,OPP_CNTRY,Country Name,Trans Count,Trans Amt
AAAS CO S  A000,201601,EC,ECUADOR,4,302000 
AAAS CO S  A000,201601,PA,PANAMA,2,5826 
AAAS CO S  A000,201602,EC,ECUADOR,6,438000 
AAAS CO S  A000,201602,PA,PANAMA,1,2024 
AAAS CO S  A000,201603,EC,ECUADOR,7,709000 
AAAS CO S  A000,201603,PA,PANAMA,1,3008 
AAAS CO S  A000,201604,EC,ECUADOR,3,455000 
AAAS CO S  A000,201605,EC,ECUADOR,3,540000 
AAAS CO S  A000,201606,EC,ECUADOR,4,545000 
AAAS CO S  A000,201607,EC,ECUADOR,3,480000 
AAAS CO S  A000,201608,EC,ECUADOR,3,291000 
AAAS CO S  A000,201609,EC,ECUADOR,5,449000 
AAAS CO S  A000,201610,EC,ECUADOR,4,281500 
AAAS CO S  A000,201611,EC,ECUADOR,5,312000 
AAAS CO S  A000,201612,EC,ECUADOR,2,264000 
AAAS CO S  A000,201701,EC,ECUADOR,5,495000 
AAAS CO S  A000,201702,EC,ECUADOR,3,251000 
AAAS CO S  A000,201703,EC,ECUADOR,1,235000 
AAAS CO S  A000,201704,EC,ECUADOR,2,350000 
AAAS CO S  A000,201705,EC,ECUADOR,1,300000 
AAAS CO S  A000,201706,EC,ECUADOR,3,750000 
BBCE AN C  L000,201601,AE,UNITED ARAB EMIRATES,1,17906 
BBCE AN C  L000,201601,EC,ECUADOR,3,83000 
BBCE AN C  L000,201602,AE,UNITED ARAB EMIRATES,4,62964 
BBCE AN C  L000,201602,EC,ECUADOR,2,50000 
BBCE AN C  L000,201603,AE,UNITED ARAB EMIRATES,1,28324 
BBCE AN C  L000,201603,EC,ECUADOR,2,55000 
BBCE AN C  L000,201604,AE,UNITED ARAB EMIRATES,3,42519 
BBCE AN C  L000,201604,EC,ECUADOR,2,80000 
BBCE AN C  L000,201605,AE,UNITED ARAB EMIRATES,1,28681 
BBCE AN C  L000,201605,EC,ECUADOR,2,75000 
BBCE AN C  L000,201606,EC,ECUADOR,2,60000 
BBCE AN C  L000,201607,EC,ECUADOR,3,48421 
BBCE AN C  L000,201608,EC,ECUADOR,3,76500 
BBCE AN C  L000,201609,EC,ECUADOR,3,65000 
BBCE AN C  L000,201610,EC,ECUADOR,3,98000 
BBCE AN C  L000,201611,EC,ECUADOR,3,75000 
BBCE AN C  L000,201612,EC,ECUADOR,4,210000 
BBCE AN C  L000,201701,EC,ECUADOR,3,118410 
BBCE AN C  L000,201702,EC,ECUADOR,2,70000 
BBCE AN C  L000,201703,EC,ECUADOR,3,120000 
BBCE AN C  L000,201704,AE,UNITED ARAB EMIRATES,2,15707 
BBCE AN C  L000,201704,EC,ECUADOR,2,80000 
BBCE AN C  L000,201705,AE,UNITED ARAB EMIRATES,2,41808 
BBCE AN C  L000,201705,EC,ECUADOR,2,100000 
BBCE AN C  L000,201706,EC,ECUADOR,3,95000 
